"Cost Centers",Kostenstellen
"Create Cost Center","Kostenstelle erstellen"
"Edit Cost Center","Kostenstelle bearbeiten"
"Back to Cost Centers","Zurück zu Kostenstellen"
Budgets,Budgets
"Create Budget","Budget erstellen"
"Create Budget for %costCenter%","Budget für %costCenter% erstellen"
"Edit Budget for %costCenter%","Budget für %costCenter% bearbeiten"
"Back to Budgets","Zurück zu Budgets"
Save,Speichern
Cancel,Abbrechen
Edit,Bearbeiten
ID,ID
Name,Name
Description,Beschreibung
Amount,Betrag
Currency,Währung
"Start date",Startdatum
"End date",Enddatum
"Display warning","Warnung anzeigen"
"Enforcement Rule",Durchsetzungsregel
"Business Units",Geschäftseinheiten
"Remaining Amount","Verbleibender Betrag"
Period,Zeitraum
Rule,Regel
Status,Status
"Created At","Erstellt am"
Actions,Aktionen
Active,Aktiv
Deactivated,Deaktiviert
"Budget not found.","Budget nicht gefunden."
"Budget created successfully.","Budget erfolgreich erstellt."
"Budget updated successfully.","Budget erfolgreich aktualisiert."
"Cost center not found.","Kostenstelle nicht gefunden."
"Cost center created successfully.","Kostenstelle erfolgreich erstellt."
"Cost center updated successfully.","Kostenstelle erfolgreich aktualisiert."
"Cost center updated successfully","Kostenstelle erfolgreich aktualisiert."
"Cost Center & Budget","Kostenstelle & Budget"
Company,Unternehmen
"Budget Amount",Budgetbetrag
"Budget Remaining Amount","Verbleibender Budgetbetrag"
N/A,N/A
"Cost Center",Kostenstelle
Budget,Budget
"Select Cost Centers","Kostenstellen auswählen"
"Select Budget","Budget auswählen"
"Block Order","Bestellung blockieren"
"Display Warning","Warnung anzeigen"
purchasing_control.budget.validation.currency_changed,"Budgetwährung kann nicht geändert werden."
purchasing_control.budget.validation.amount_too_large,"Budgetbetrag überschreitet den maximal zulässigen Wert."
purchasing_control.budget.validation.name_too_long,"Budgetname darf nicht mehr als 100 Zeichen enthalten."
purchasing_control.cost_center.validation.name_too_long,"Name der Kostenstelle darf nicht mehr als 100 Zeichen enthalten."
urchasing_control.budget.validation.end_date_in_past,"Enddatum darf nicht in der Vergangenheit liegen."
