"Cost Centers","Cost Centers"
"Create Cost Center","Create Cost Center"
"Edit Cost Center","Edit Cost Center"
"Back to Cost Centers","Back to Cost Centers"
Budgets,Budgets
"Create Budget","Create Budget"
"Create Budget for %costCenter%","Create Budget for %costCenter%"
"Edit Budget for %costCenter%","Edit Budget for %costCenter%"
"Back to Budgets","Back to Budgets"
Save,Save
Cancel,Cancel
Edit,Edit
ID,ID
Name,Name
Description,Description
Amount,Amount
Currency,Currency
"Start date","Start date"
"End date","End date"
"Display warning","Display warning"
"Enforcement Rule","Enforcement Rule"
"Business Units","Business Units"
"Remaining Amount","Remaining Amount"
Period,Period
Rule,Rule
Status,Status
"Created At","Created At"
Actions,Actions
Active,Active
Deactivated,Deactivated
"Budget not found.","Budget not found."
"Budget created successfully.","Budget created successfully."
"Budget updated successfully.","Budget updated successfully."
"Cost center not found.","Cost center not found."
"Cost center created successfully.","Cost center created successfully."
"Cost center updated successfully.","Cost center updated successfully."
"Cost center updated successfully","Cost center updated successfully"
"Cost Center & Budget","Cost Center & Budget"
Company,Company
"Budget Amount","Budget Amount"
"Budget Remaining Amount","Budget Remaining Amount"
N/A,N/A
"Cost Center","Cost Center"
Budget,Budget
"Select Cost Centers","Select Cost Centers"
"Select Budget","Select Budget"
"Block Order","Block Order"
"Display Warning","Display Warning"
purchasing_control.budget.validation.currency_changed,"Budget currency cannot be changed."
purchasing_control.budget.validation.amount_too_large,"Budget amount exceeds the maximum allowed value."
purchasing_control.budget.validation.name_too_long,"Budget name must not exceed 100 characters."
purchasing_control.cost_center.validation.name_too_long,"Cost center name must not exceed 100 characters."
urchasing_control.budget.validation.end_date_in_past,"End date cannot be in the past."
